antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
"26508, 28711, 38218","Dandruff Shampoo Plus Conditioner T/Gel® Daily Control, Tamale Pepper Cheese 3 Pk, Rising Crust Three Meat Pizza",12231,Orange Jel Dessert,0.1019,0.7273,7.1374,"{26508, 28711, 38218}",{12231}
"19276, 24181, 38976","Whole Nutmeg, No Sugar Added Lemon & Cherry Flavor Real Italian Ice, Coffee Nut Peanut Chocolate Candy",483,"\""Constant Comment\"" Decaffeinated Black Tea Blend",0.1645,0.5713,3.4729,"{19276, 24181, 38976}",{483}
37549,Chocolate Cake Mix,"24281, 24821","Organic Spelt Pie Crusts, Wild Rose Deodorant Spray",0.2867,0.7352,2.5644,{37549},"{24281, 24821}"
"13278, 34412","Hand Soap, Refill Size, French Lavender, Big Bags with Double Zipper, XL","18281, 26274","Popped Dark Chocolate with Sea Salt Granola Bar, Dutch Apple Pie",0.2285,0.924,4.0438,"{13278, 34412}","{18281, 26274}"
"42267, 4479","Classic Mustard, Fair Trade Level 4",41303,Almond Breeze Reduced Sugar Vanilla Almondmilk,0.2562,0.4671,1.8232,"{42267, 4479}",{41303}
"11432, 26130, 47020","Chopped Kale, Creamy Gorg Blue-Veined Cheese Soft, Peanut Butter Pretzel Sandwiches","6544, 9667","Garlic Rosemary Citrus Sauce, Radiatore Pasta",0.4388,0.7717,1.7587,"{11432, 26130, 47020}","{6544, 9667}"
"14410, 30498","Spicy Black Bean Veggie Burgers, Classics Canine Cuisine Variety Pack Wet Dog Food","15534, 17268","Lightly Salted Roasted Edamame, Original Potato Chips Triple Pack",0.0146,0.3835,26.2671,"{14410, 30498}","{15534, 17268}"
44199,Toll House Mini Chocolate Chip Cookie Dough,"31020, 39511","Organic Honey Grade A, Baby Diaper Rash Ointment",0.3252,0.3157,0.9708,{44199},"{31020, 39511}"
"24190, 6049","In Light Syrup & Passion Fruit Juice Tropical Fruit, Wild Berry Organic Sparkling Energy Drink","17534, 4669","AFTER SHAVE CLASSIC, Pure Rewards Beef Jerky Bits Dog Treats",0.3477,0.7119,2.0475,"{24190, 6049}","{17534, 4669}"
17519,Organic Espresso Blend Whole Bean Coffee,"24144, 46976","Constellation Tomatoes, Dry Sweeping Refills  X-Large",0.3998,0.868,2.1711,{17519},"{24144, 46976}"
"31452, 46524, 6445","Grape Cranberry Juice Cocktail, Natural Peanut Butter Crunchy and Flaxseed, Gold Blend Tea Bags",33634,Clear Pore Oil Eliminating Astringent,0.1764,0.6076,3.4444,"{31452, 46524, 6445}",{33634}
"10585, 15770","Spinach & Roasted Garlic Crackers, Hot Dog Chili Sauce","24466, 34824","Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub, Organic Sweet Onion",0.0852,0.4969,5.8322,"{10585, 15770}","{24466, 34824}"
24328,Artichoke Spread,"38036, 45925","Toasted Sesame Water Crackers, All Natural Turkey Burgers",0.0282,0.3962,14.0496,{24328},"{38036, 45925}"
"18281, 18550, 2989","Popped Dark Chocolate with Sea Salt Granola Bar, Organic Original Coconut Smoothie, Sweet Marsala",10503,U Ultra Overnight With Wings Pads,0.2971,0.3774,1.2703,"{18281, 18550, 2989}",{10503}
4553,Exfoliating Renewal Wet Cleansing Towelettes,37777,Moroccan Infusion Color Care Shampoo,0.1217,0.6974,5.7305,{4553},{37777}
"14586, 16176","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Lentil Trio, Organic","13278, 27784","Hand Soap, Refill Size, French Lavender, Lemonade With Tea",0.4741,0.7254,1.5301,"{14586, 16176}","{13278, 27784}"
"28546, 4200","Hello Kitty Fruit Flavored Snacks, 60 Watt Crystal Clear Bulbs","16425, 5615","Organic Lowafat 1% Milk, White Miso Soup Mix",0.4713,0.8071,1.7125,"{28546, 4200}","{16425, 5615}"
45465,Shredded Swiss Cheese,8582,Banana Vanilla Freeze Dried Yogurt & Fruit Snacks,0.1278,0.373,2.9186,{45465},{8582}
"46976, 7402","Dry Sweeping Refills  X-Large, Mandarin Mango Hand Soap",19626,Baby Brussel Sprouts,0.3701,0.904,2.4426,"{46976, 7402}",{19626}
1077,Security Super Plus Unscented Tampons,34353,Eco Chic Technology Tea Tree Triple Treat Conditioner for All Hair Types,0.0284,0.6145,21.6373,{1077},{34353}
18045,"Clean & Refresh Antibacterial Body Wash, Lavender & Twilight Jasmine","376, 45348","Even & Bright Pink Lemon and Mandarin Orange Body Wash, Chillable Red House Wine",0.0414,0.8042,19.4251,{18045},"{376, 45348}"
"40462, 45814","Cleanse, Rose Foaming Face Wash","26219, 35316","Original Spray Starch, Shower Cleaner",0.244,0.4731,1.9389,"{40462, 45814}","{26219, 35316}"
"1926, 30968, 36035","2 In 1 Super Foam & Scrub Sponges, Water Chestnut, Reduced Sodium Jambalaya Mix","36047, 39391","Los Osos Merlot, Prosciutto Cotto",0.0402,0.4119,10.2463,"{1926, 30968, 36035}","{36047, 39391}"
"34035, 35340, 7671","Hamburger Bun, Jumbo Slider Bags, Organic Yogurt Baby Food","10585, 33453","Spinach & Roasted Garlic Crackers, V-Fusion Fruit Punch Vegetable & Fruit Beverage",0.4184,0.998,2.3853,"{34035, 35340, 7671}","{10585, 33453}"
"1190, 16440","Tequila Reposado with Glass, Fridge Pack Diet Root Beer",36675,"Kale Krunch, Organic, Southwest Ranch",0.1706,0.6865,4.024,"{1190, 16440}",{36675}
"11432, 39098","Chopped Kale, Complete Health Kitten Dry Food",4200,60 Watt Crystal Clear Bulbs,0.3751,0.8481,2.261,"{11432, 39098}",{4200}
"22757, 25931, 33810","Bag of Kiwis, Organic Baby Spinach Salad, Citrus Dish Soap",1190,Tequila Reposado with Glass,0.1398,0.755,5.4006,"{22757, 25931, 33810}",{1190}
"41601, 605","All Profits To Charity Pineapple Salsa, Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender","16727, 28442","Organic Bosc Pears, Coronita Beer Extra",0.3067,0.9959,3.2471,"{41601, 605}","{16727, 28442}"
"46800, 6255, 7307","Cheesy Scalloped Potatoes, Multi-Grain Cheerios Dark Chocolate Crunch Cereal, Sweet & Sour Chicken With Vegetables",28442,Coronita Beer Extra,0.098,0.3001,3.0622,"{46800, 6255, 7307}",{28442}
